origin,type,censored
deb://Debian/packages/sahara,deb,1
https://pypi.org/project/frozenlist/,pypi,1
deb://Debian/packages/labelme,deb,1
deb://Debian/packages/bambam,deb,1
deb://Debian/packages/caldav-tester,deb,1
https://pypi.org/project/opencensus-context/,pypi,1
deb://Debian/packages/python-linecache2,deb,1
deb://Debian/packages/python-xstatic-qunit,deb,0
https://pypi.org/project/sasl/,pypi,0
deb://Debian/packages/xmldiff,deb,0
deb://Debian/packages/sortsmill-tools,deb,0
https://pypi.org/project/azure-mgmt-relay/,pypi,1
https://github.com/django/django,git,0
deb://Debian/packages/python-osprofiler,deb,1
https://pypi.org/project/astroid/,pypi,1
https://github.com/google/grr,git,1
https://gitlab.com/eRogue/RLDevRLTut2018.git,git,0
https://github.com/hephaest0s/usbkill,git,0
https://github.com/Jack-Cherish/Machine-Learning,git,0
https://github.com/pallets/jinja,git,1
https://pypi.org/project/aniso8601/,pypi,1
https://github.com/albumentations-team/albumentations,git,1
https://github.com/jupyterhub/jupyterhub,git,1
https://github.com/deepmind/pysc2,git,0
https://pypi.org/project/distributed/,pypi,1
https://pypi.org/project/Automat/,pypi,1
https://github.com/OUCMachineLearning/OUCML,git,1
https://github.com/tensorlayer/srgan,git,1
deb://Debian/packages/tryton-modules-stock-lot-sled,deb,1
https://github.com/openstack/openstack,git,1
https://pypi.org/project/ordered-set/,pypi,1
https://gitlab.com/canarduck/disques.git,git,1
https://github.com/richzhang/colorization,git,1
https://github.com/lmacken/pyrasite,git,0
https://github.com/521xueweihan/HelloGitHub,git,0
https://pypi.org/project/autopep8/,pypi,1
https://pypi.org/project/WebOb/,pypi,1
https://github.com/hankcs/pyhanlp,git,1
https://github.com/roytseng-tw/Detectron.pytorch,git,0
https://github.com/deepmind/sonnet,git,1
https://github.com/nvdv/vprof,git,1
https://pypi.org/project/Django/,pypi,1
https://github.com/chriskiehl/Gooey,git,1
https://github.com/facebook/chisel,git,1
https://pypi.org/project/cfn-lint/,pypi,1
https://gitlab.com/kivymd/KivyMD.git,git,0
deb://Debian/packages/subdownloader,deb,1
deb://Debian/packages/gnome-boxes,deb,1
https://github.com/angr/angr,git,1
https://github.com/bojone/bert4keras,git,1
https://github.com/injetlee/Python,git,1
https://github.com/allanzelener/YAD2K,git,0
https://pypi.org/project/APScheduler/,pypi,0
https://github.com/statsmodels/statsmodels,git,1
https://github.com/cowrie/cowrie,git,1
https://pypi.org/project/pyasn1-modules/,pypi,1
https://github.com/deepset-ai/haystack,git,1
https://pypi.org/project/djangorestframework/,pypi,1
https://github.com/donnemartin/dev-setup,git,0
https://github.com/chatopera/Synonyms,git,0
https://pypi.org/project/jupyter-console/,pypi,1
https://github.com/python/cpython,git,1
https://github.com/cookiecutter/cookiecutter,git,1
https://github.com/miso-belica/sumy,git,1
https://gitlab.com/guyzmo/git-repo.git,git,0
deb://Debian/packages/virtualbox,deb,1
https://pypi.org/project/py4j/,pypi,1
https://gitlab.com/WilferCiro/ArduinoIDE.git,git,0
https://github.com/openai/gym,git,1
https://github.com/Yelp/mrjob,git,1
https://pypi.org/project/Cerberus/,pypi,0
https://github.com/deepmind/learning-to-learn,git,0
https://github.com/sfyc23/EverydayWechat,git,1
https://gitlab.com/romaaeterna/vocball.git,git,1
https://github.com/asweigart/pyautogui,git,1
https://pypi.org/project/argcomplete/,pypi,1
https://pypi.org/project/typing/,pypi,1
https://github.com/kivy/python-for-android,git,1
https://github.com/tiangolo/fastapi,git,1
https://gitlab.com/ldo/harfpy.git,git,0
https://gitlab.com/betse/betsee.git,git,1
https://github.com/newsapps/beeswithmachineguns,git,0
https://github.com/tebelorg/RPA-Python,git,1
https://github.com/HIT-SCIR/ltp,git,1
https://github.com/PyTorchLightning/pytorch-lightning,git,1
https://github.com/prakhar1989/Algorithms,git,0
deb://Debian/packages/python-oslo.versionedobjects,deb,1
https://pypi.org/project/coreapi/,pypi,0
https://pypi.org/project/idna_ssl/,pypi,0
https://github.com/mstamy2/PyPDF2,git,0
https://github.com/vnpy/vnpy,git,1
https://pypi.org/project/ruamel.yaml/,pypi,1
https://pypi.org/project/httpx/,pypi,1
https://pypi.org/project/googleads/,pypi,1
https://pypi.org/project/aws-requests-auth/,pypi,1
https://github.com/pandas-dev/pandas,git,1
https://github.com/pallets/werkzeug,git,1
https://github.com/zalando/connexion,git,1
https://pypi.org/project/mozrunner/,pypi,1
https://gitlab.com/vagnum08/cpupower-gui.git,git,1
https://pypi.org/project/nbconvert/,pypi,1
https://pypi.org/project/Flask-JWT-Extended/,pypi,1
https://github.com/maciejkula/spotlight,git,1
https://pypi.org/project/kubernetes/,pypi,1
https://github.com/n1nj4sec/pupy,git,1
https://github.com/rushter/MLAlgorithms,git,1
https://pypi.org/project/elasticsearch/,pypi,1
https://pypi.org/project/zipp/,pypi,1
https://pypi.org/project/click-repl/,pypi,0
https://github.com/pypa/pip,git,1
https://github.com/NVIDIA/Megatron-LM,git,1
https://github.com/hankcs/HanLP,git,1
https://github.com/awslabs/autogluon,git,1
https://github.com/pudo/dataset,git,1
https://github.com/ThilinaRajapakse/simpletransformers,git,1
deb://Debian/packages/lxc,deb,1
https://github.com/facebookresearch/pifuhd,git,1
https://github.com/Netflix/vmaf,git,1
https://pypi.org/project/lightgbm/,pypi,1
https://github.com/andresriancho/w3af,git,1
https://github.com/aws/aws-sam-cli,git,1
https://github.com/liuhuanyong/QASystemOnMedicalKG,git,0
https://github.com/shibing624/pycorrector,git,0
https://github.com/clovaai/stargan-v2,git,1
https://pypi.org/project/thinc/,pypi,1
deb://Debian/packages/beets,deb,1
https://github.com/Yelp/elastalert,git,1
https://pypi.org/project/twilio/,pypi,1
https://github.com/tkipf/gcn,git,0
https://github.com/jpadilla/pyjwt,git,1
https://pypi.org/project/azure-keyvault-secrets/,pypi,1
https://github.com/donnemartin/system-design-primer,git,1
https://github.com/princewen/tensorflow_practice,git,0
https://pypi.org/project/tqdm/,pypi,1
https://github.com/offu/WeRoBot,git,0
https://github.com/yahoo/TensorFlowOnSpark,git,1
https://gitlab.com/frague59/da2i.git,git,0
https://github.com/soumith/convnet-benchmarks,git,0
https://pypi.org/project/protobuf/,pypi,1
https://pypi.org/project/regex/,pypi,1
deb://Debian/packages/expeyes,deb,1
https://github.com/OctoPrint/OctoPrint,git,1
https://github.com/Guake/guake,git,1
https://github.com/Bitmessage/PyBitmessage,git,1
https://pypi.org/project/msrest/,pypi,1
https://github.com/SublimeText-Markdown/MarkdownEditing,git,0
https://github.com/gpuweb/gpuweb,git,1
https://github.com/ehForwarderBot/ehForwarderBot,git,0
https://pypi.org/project/msrestazure/,pypi,0
https://github.com/joblib/joblib,git,1
https://github.com/SpiderLabs/Responder,git,0
https://github.com/yahoo/open_nsfw,git,0
https://pypi.org/project/great-expectations/,pypi,1
https://gitlab.com/Screwtapello/bdflib.git,git,0
https://github.com/robotframework/robotframework,git,1
https://github.com/tornadoweb/tornado,git,1
https://github.com/mopidy/mopidy,git,1
https://github.com/insanum/gcalcli,git,1
https://gitlab.com/ideasman42/blender-mathutils.git,git,0
https://gitlab.com/sigmavirus24/toolbelt.git,git,0
https://github.com/FederatedAI/FATE,git,1
https://github.com/tensortrade-org/tensortrade,git,1
https://github.com/cornellius-gp/gpytorch,git,0
deb://Debian/packages/bpython,deb,1
deb://Debian/packages/python-crcmod,deb,0
https://pypi.org/project/docker-compose/,pypi,1
https://pypi.org/project/gast/,pypi,1
https://gitlab.com/cerfacs/arnica.git,git,0
deb://Debian/packages/testrepository,deb,0
https://pypi.org/project/ppft/,pypi,1
deb://Debian/packages/python-apptools,deb,1
https://github.com/chrippa/livestreamer,git,0
https://github.com/xonsh/xonsh,git,1
https://github.com/clips/pattern,git,1
https://github.com/Tribler/tribler,git,1
https://github.com/AlessandroZ/LaZagne,git,1
https://pypi.org/project/marshmallow/,pypi,1
https://github.com/voila-dashboards/voila,git,1
https://pypi.org/project/wget/,pypi,0
https://pypi.org/project/azure-mgmt-authorization/,pypi,1
deb://Debian/packages/autojump,deb,0
https://github.com/spulec/moto,git,1
https://github.com/TheRook/subbrute,git,0
https://github.com/byt3bl33d3r/CrackMapExec,git,1
https://pypi.org/project/google-cloud-datastore/,pypi,1
https://github.com/facebookresearch/DrQA,git,1
